tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month
tt0780653,The Wolfman,"['Drama', 'Fantasy', 'Horror']",5.8,97873,Uni.,62000000.0,14.03,2010-02-12,5.7,1009,2
tt0787474,The Boxtrolls,"['Adventure', 'Animation', 'Comedy']",6.8,50763,Focus,50800000.0,11.219000000000001,2014-09-26,6.7,1016,9
tt0790628,The Incredible Burt Wonderstone,"['Adventure', 'Comedy', 'Fantasy']",5.9,67549,WB (NL),22500000.0,9.362,2013-03-15,5.4,920,3
tt0790636,Dallas Buyers Club,"['Biography', 'Drama']",8.0,402462,Focus,27300000.0,12.389000000000001,2013-11-22,7.9,4961,11
tt0790663,The First Grader,"['Biography', 'Drama', 'Romance']",7.5,4052,NGE,332000.0,3.3310000000000004,2010-09-04,7.0,51,9
tt0790724,Jack Reacher,"['Action', 'Crime', 'Thriller']",7.0,284547,Par.,80100000.0,18.312,2012-12-21,6.4,4155,12
tt0790736,R.I.P.D.,"['Action', 'Adventure', 'Comedy']",5.6,109078,Uni.,33600000.0,21.377,2013-07-19,5.6,2047,7
tt0795461,Scary Movie 5,['Comedy'],3.5,60139,W/Dim.,32000000.0,16.316,2013-04-12,4.7,1494,4
tt0800369,Thor,"['Action', 'Adventure', 'Fantasy']",7.0,683264,Par.,181000000.0,38.068000000000005,2011-05-06,6.7,12764,5
tt0803096,Warcraft,"['Action', 'Adventure', 'Fantasy']",6.9,225557,Uni.,47400000.0,21.464000000000002,2016-06-10,6.3,4071,6
tt0804497,It's Kind of a Funny Story,"['Comedy', 'Drama', 'Romance']",7.1,125583,Focus,6400000.0,10.01,2010-10-08,7.0,1324,10
tt0808510,Tooth Fairy,"['Comedy', 'Family', 'Fantasy']",5.0,37939,Fox,60000000.0,12.65,2010-01-22,5.3,1058,1
tt0810913,Jack and Jill,['Comedy'],3.3,71361,Sony,74200000.0,11.277000000000001,2011-11-11,4.1,1124,11
tt0810922,Take Me Home Tonight,"['Comedy', 'Drama', 'Romance']",6.3,48393,Rela.,6900000.0,11.321,2011-03-04,6.1,339,3
tt0816442,The Book Thief,"['Drama', 'War']",7.6,119023,Fox,21500000.0,9.033999999999999,2013-11-08,7.5,2788,11
tt0816692,Interstellar,"['Adventure', 'Drama', 'Sci-Fi']",8.6,1299334,Par.,188000000.0,28.44,2014-11-05,8.2,18597,11
tt0816711,World War Z,"['Action', 'Adventure', 'Horror']",7.0,553751,Par.,202400000.0,14.582,2013-06-21,6.7,9132,6
tt0817177,Flipped,"['Comedy', 'Drama', 'Romance']",7.7,74937,WB,1800000.0,9.781,2010-08-06,7.4,859,8
tt0817230,Valentine's Day,"['Comedy', 'Romance']",5.7,107171,WB (NL),110500000.0,11.187000000000001,2010-02-11,5.8,1907,2
tt0829150,Dracula Untold,"['Action', 'Drama', 'Fantasy']",6.3,164829,Uni.,56300000.0,29.043000000000003,2014-10-03,6.2,3719,10
tt0837562,Hotel Transylvania,"['Animation', 'Comedy', 'Family']",7.1,204571,Sony,148300000.0,15.318,2012-09-28,6.9,5013,9
tt0840361,The Town,"['Crime', 'Drama', 'Thriller']",7.6,322524,WB,92200000.0,13.475999999999999,2010-09-17,7.1,2386,9
