tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month,Adventure,Drama,Romance,Action,Crime,Sci-fi,Comedy,Family,Animation,Thriller,Mystery,Horror,Biography,History,Fantasy,Music,War,Sport
tt2301155,Shootout at Wadala,"['Action', 'Crime']",5.9,5610,Eros,370000.0,0.6,2013-05-03,6.5,14,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2302755,Olympus Has Fallen,"['Action', 'Thriller']",6.5,235443,FD,98900000.0,13.864,2013-03-22,6.2,4086,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2304933,The 5th Wave,"['Action', 'Adventure', 'Drama']",5.2,90788,Sony,34900000.0,12.967,2016-01-15,5.8,3657,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2309260,The Gallows,"['Horror', 'Mystery', 'Thriller']",4.2,17763,WB (NL),22800000.0,9.166,2015-07-10,4.8,591,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
tt2310332,The Hobbit: The Battle of the Five Armies,"['Adventure', 'Fantasy']",7.4,438621,WB (NL),255100000.0,53.783,2014-12-17,7.3,8392,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt2316204,Alien: Covenant,"['Horror', 'Sci-Fi', 'Thriller']",6.4,226920,Fox,74300000.0,24.651,2017-05-19,5.9,4971,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
tt2321549,The Babadook,"['Drama', 'Horror']",6.8,171411,IFC,964000.0,11.502,2014-11-28,6.4,3528,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt2322441,Fifty Shades of Grey,"['Drama', 'Romance', 'Thriller']",4.1,279126,Uni.,166200000.0,21.229,2015-02-13,5.4,6451,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2326554,A Girl Walks Home Alone at Night,"['Drama', 'Horror']",7.0,26631,KL,492000.0,7.468,2014-01-19,6.8,395,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt2333784,The Expendables 3,"['Action', 'Adventure', 'Thriller']",6.1,156432,LGF,39300000.0,18.797,2014-08-15,6.1,2876,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2333804,The Zero Theorem,"['Comedy', 'Drama', 'Fantasy']",6.1,42082,Ampl.,258000.0,9.314,2014-08-19,6.1,615,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt2334649,Fruitvale Station,"['Biography', 'Drama', 'Romance']",7.5,68187,Wein.,16100000.0,9.587,2013-07-26,7.4,645,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt2334873,Blue Jasmine,['Drama'],7.3,179453,SPC,33400000.0,10.443,2013-07-26,7.0,1983,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2357291,Rio 2,"['Adventure', 'Animation', 'Comedy']",6.3,72209,Fox,131500000.0,18.11,2014-04-11,6.3,1803,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
tt2364841,Runner Runner,"['Crime', 'Thriller']",5.6,58235,Fox,19300000.0,10.442,2013-10-02,5.6,761,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2379713,Spectre,"['Action', 'Adventure', 'Thriller']",6.8,352504,Sony,200100000.0,30.318,2015-11-06,6.4,6719,11,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2381111,Brooklyn,"['Drama', 'Romance']",7.5,117021,FoxS,38300000.0,12.083,2015-11-04,7.3,1912,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
